id,category,subcategory,question,answer,difficulty,tags
13,產品介紹,美容護膚系列 — 精華液,你們的精華液主打什麼功效？適合什麼膚質？,我們的「極光煥白修護精華液」主打亮白、保濕、修護三效合一。核心成分為專利傳明酸複合配方搭配 5% 菸鹼醯胺，能從根源調理暗沉，均勻膚色；同時含有三重玻尿酸（大分子保濕鎖水、中分子滲透潤澤、小分子深層修護），全面提升肌膚含水量。質地為清透水感精華，好吸收不黏膩，適合所有膚質，油性肌膚也能安心使用。建議早晚在化妝水之後、乳液之前使用 2 到 3 滴，輕拍至完全吸收即可。,medium,產品;精華液;亮白;美容護膚系列
14,產品介紹,美容護膚系列 — 防曬乳,你們的防曬乳防曬係數多少？會不會很油或泛白？,我們的「清透水感防曬乳 SPF50+ PA++++」提供高效的 UVA 和 UVB 雙重防護。採用新型態混合防曬配方，結合物理性與化學性防曬劑的優點，質地輕薄如水乳液，塗抹後快速成膜，完全不泛白也不油膩。添加積雪草萃取與維生素 E，在防曬的同時舒緩修護肌膚。防水抗汗配方適合戶外活動使用，但日常通勤也很舒適。建議出門前 15 分鐘均勻塗抹，每 2 到 3 小時補擦一次，用一般洗面乳即可清洗乾淨。,medium,產品;防曬;SPF;美容護膚系列
15,產品介紹,美容護膚系列 — 面膜,你們的面膜有哪幾種？多久敷一次比較好？,我們的「水光奇肌面膜系列」共有三款可選擇：玻尿酸深層保濕款（藍色包裝）適合乾燥缺水肌；積雪草舒緩修護款（綠色包裝）適合敏感泛紅肌；菸鹼醯胺亮白透光款（紫色包裝）適合暗沉蠟黃肌。面膜布採用日本進口超細纖維，服貼度極佳，精華液含量高達 30ml。建議一般膚質每週使用 2 到 3 次，敏感肌每週 1 到 2 次，每次敷 15 到 20 分鐘，取下後將剩餘精華液輕拍吸收即可，無需沖洗。,medium,產品;面膜;保濕;美容護膚系列
16,產品介紹,美容護膚系列 — 洗面乳,你們的洗面乳適合敏感肌嗎？會不會太刺激？,我們的「柔淨氨基酸潔顏慕斯」非常適合敏感肌。採用胺基酸系界面活性劑，pH 值 5.5 弱酸性配方，與肌膚天然酸鹼值一致，溫和清潔不破壞皮脂膜。慕斯質地按壓即出綿密泡沫，不需搓揉起泡，減少摩擦對肌膚的刺激。不含皂基、酒精、人工色素及 SLS/SLES，並通過敏感肌膚貼布測試。添加神經醯胺和洋甘菊萃取，洗後不緊繃、不乾澀。早晚各使用一次，以指腹輕柔畫圈後用溫水沖淨即可。,medium,產品;洗面乳;敏感肌;美容護膚系列
17,產品介紹,美容護膚系列 — 身體乳,你們的身體乳保濕效果好嗎？味道如何？,我們的「絲滑潤澤身體乳」主打 48 小時長效保濕。配方結合乳木果油、荷荷芭油及角鯊烷三重滋潤成分，快速滲透肌膚，形成保護屏障鎖住水分，即使冬天乾燥脫屑的肌膚也能回復柔滑。質地為輕盈乳霜狀，好推開不厚重，吸收後清爽不黏衣物。香味方面提供三種選擇：白茶花語（清新淡雅）、晚安薰衣草（舒緩放鬆）、無香款（適合香味敏感者）。建議沐浴後趁肌膚微濕時塗抹，保濕效果加倍。全身適用，每瓶 300ml 大容量約可使用 2 個月。,medium,產品;身體乳;保濕;美容護膚系列
18,產品介紹,居家生活系列 — 空氣清淨機,你們的空氣清淨機跟其他品牌比有什麼優勢？,我們的「淨呼吸智能空氣清淨機」搭載 H13 醫療級 HEPA 濾網搭配活性碳複合層，能過濾 99.97% 的 PM2.5、花粉、塵蟎、甲醛及異味。獨家的三段式淨化系統（前置濾網、HEPA 濾網、光觸媒殺菌）提供全面防護。內建智能感測器，即時偵測空氣品質並以燈號顯示（綠色良好、黃色普通、紅色不佳），自動調整風速。運轉音量最低僅 22 分貝，比圖書館還安靜，適合臥室使用。適用坪數約 15 到 20 坪，濾網壽命約 12 個月，機器會自動提醒更換。,medium,產品;空氣清淨機;居家;居家生活系列
19,產品介紹,居家生活系列 — 淨水器,你們的淨水器能過濾哪些雜質？需要常換濾芯嗎？,我們的「鮮活多效淨水器」採用四道過濾系統：第一道 PP 棉濾芯過濾泥沙鐵鏽等大顆粒雜質；第二道活性碳棒去除餘氯和異味；第三道中空纖維膜過濾細菌與微粒；第四道後置活性碳提升口感。能有效去除水中的餘氯、重金屬（鉛、汞）、細菌（大腸桿菌等），同時保留對人體有益的礦物質。安裝方式簡便，直接接在水龍頭上不需鑽孔配管。濾芯依用水量不同，建議每 6 到 12 個月更換一次，機器上有智能指示燈提醒您更換時間，訂購濾芯也可享會員優惠價。,medium,產品;淨水器;過濾;居家生活系列
20,產品介紹,居家生活系列 — 環保清潔劑,你們的清潔劑真的天然嗎？清潔力夠強嗎？,我們的「植萃全效環保清潔劑」以椰子油基界面活性劑為主要清潔成分，搭配橘皮精油萃取的天然去汙因子（d-Limonene），清潔力媲美化學清潔劑，但不含石化界面活性劑、磷、螢光劑及甲醛。通過歐盟 ECOCERT 環保認證及 SGS 無毒測試，生物分解度達 98% 以上，排放後 28 天內可被自然分解，不會污染水源。採用超濃縮配方，一瓶可稀釋使用，依濃度不同可用於廚房油垢、浴室水垢、地板、衣物等全場景清潔。有清新柑橘與無香兩種選擇，敏感體質也適用。,medium,產品;清潔劑;環保;居家生活系列
21,產品介紹,居家生活系列 — 精油香氛機,你們的香氛機可以用多久？精油是天然的嗎？,我們的「靜謐時光超音波精油香氛機」採用超音波霧化技術，不加熱不破壞精油活性成分。水箱容量 300ml，最長可連續運作 10 小時。支援間歇模式（噴霧 30 秒停 30 秒），延長使用時間的同時讓香氣更自然。內建七彩 LED 氛圍燈，可固定單色或自動漸變，營造放鬆氛圍。當水量不足時會自動斷電，安全無虞。搭配使用的精油全系列為 100% 純天然植物萃取，通過 GC-MS 成分分析檢驗，無人工香精。目前提供薰衣草、尤加利、甜橙、茶樹、檀香五款單方精油及三款複方精油可選購。,medium,產品;香氛機;精油;居家生活系列
22,產品介紹,居家生活系列 — 寢具組,你們的寢具有什麼特別的？為什麼比一般的貴？,我們的「雲柔抗菌天絲寢具組」採用奧地利 Lenzing 原廠認證天絲（TENCEL™）面料，觸感如絲綢般滑順涼爽，吸濕排汗性比純棉高出 50%，特別適合台灣潮濕悶熱的氣候。布料經過瑞士 SANITIZED 抗菌防蟎處理，有效抑制 99.9% 的常見細菌與塵蟎滋生，通過 OEKO-TEX Standard 100 無毒認證，對敏感肌與嬰幼兒都安全。一組包含床包、被套及兩個枕套，提供多種素色和簡約印花設計。價格較高是因為原料和認證成本，但天絲面料耐洗不易起毛球，正常使用與洗滌下壽命可達 3 到 5 年，換算下來其實很超值。,medium,產品;寢具;天絲;居家生活系列
23,異議處理,價格異議,太貴了，我買不起。,我完全理解您的考量。其實很多夥伴一開始也有同樣的想法，後來他們發現，如果把費用除以每天的使用量，其實一天不到幾十元。而且我們有不同的組合方案可以選擇，也有分期的方式。要不要讓我幫您看看最適合您預算的方案？,medium,異議;價格;成交技巧
24,異議處理,效果懷疑,這真的有效嗎？我之前用過別的都沒用。,您的疑慮很合理，過去的經驗確實會影響信心。我想跟您分享的是，效果會因產品配方、使用方式和個人體質而異。我們的產品有臨床實驗數據支持，我可以提供給您參考。另外，建議您可以先從小包裝體驗看看，給自己一個月的時間感受變化，如何？,medium,異議;效果;信任
25,異議處理,時間考量,我沒有時間做直銷。,完全理解！其實很多成功的夥伴都是利用碎片時間經營的，例如通勤時回覆訊息、午休時分享產品心得。我們也提供完整的數位工具和系統，可以大幅節省時間。您不需要一開始就全力投入，先用兼職的方式試試看也很好。要不要先了解一下我們的時間管理方法？,medium,異議;時間;經營
26,異議處理,直銷排斥,我不喜歡直銷，感覺像在騷擾朋友。,您的感受我非常理解，很多人對直銷有這樣的印象。但現在的經營方式已經很不一樣了，我們強調的是「分享」而不是「推銷」。透過社群媒體分享真實使用體驗、提供有價值的健康資訊，讓有需求的人主動找上您。好的產品本身就會說話，不需要強迫推銷。,hard,異議;觀感;直銷印象
27,異議處理,考慮再看看,我再考慮看看。,當然，做決定不需要急。不過方便讓我了解一下，您主要在考慮哪個部分呢？是產品本身、價格、還是經營模式？這樣我可以提供更有針對性的資訊給您參考，也讓您的考慮更有方向。,medium,異議;拖延;跟進
28,異議處理,身邊沒人脈,我認識的人不多，做得起來嗎？,人脈不是天生的，是可以經營和擴展的。很多成功的直銷夥伴一開始認識的人也不多，但他們透過社群媒體、社區活動、興趣社團等方式持續拓展人脈。而且在這個事業裡，重要的不是認識多少人，而是您能影響多深。先從身邊幾個人開始，做好服務讓他們願意轉介紹，人脈自然會越來越廣。,medium,異議;人脈;拓展;方法
29,制度說明,加入門檻,加入需要什麼條件？要花多少錢？,加入的流程很簡單：您只需要年滿 18 歲，填寫加入申請書，並選擇一個入門產品組合即可。我們有不同價位的入門組合，從入門方案到進階方案都有，最低大約幾千元就能開始。這筆費用不是「入會費」，而是您實際拿到的產品價值。您想了解哪個方案最適合您嗎？,easy,制度;加入;門檻
30,制度說明,晉升條件,要怎麼升級？升上去有什麼好處？,晉升主要看兩個指標：個人累積業績和團隊架構發展。每個階級都有明確的達成標準，例如個人月業績達到一定金額、下線人數與活躍度等。升級後的好處包括：更高的獎金比例、額外的領導獎金、公司提供的培訓資源，以及旅遊獎勵的資格。我可以為您畫一張晉升路徑圖，讓您更清楚每個階段的目標。,hard,制度;晉升;目標
31,制度說明,獎金制度,加入之後怎麼賺錢？獎金怎麼計算？,我們的收入來源主要有四個部分：第一是零售利潤，您以會員價購買、以建議售價銷售，中間的價差就是您的利潤；第二是個人銷售獎金，依據月業績達成比例發放；第三是團隊發展獎金，當您培養的團隊產生業績時，您也會獲得相應獎金；第四是各種激勵獎金和旅遊獎勵。詳細的獎金百分比我可以用表格為您說明。,hard,制度;獎金;收入
32,制度說明,自動續購,什麼是自動訂購？一定要設定嗎？,自動訂購是一個方便的功能，讓您每月自動補貨，享有額外折扣，同時也能維持您的活躍會員資格。但這不是強制的，您可以隨時開啟或取消。如果您每個月都會使用固定的產品，設定自動訂購可以省去每月下單的麻煩，也能用更優惠的價格購買。我可以幫您評估哪些產品適合設定自動訂購。,easy,制度;自動訂購;會員
33,制度說明,退出機制,如果做不下去可以退出嗎？會損失什麼？,當然可以。依照公平交易委員會的規範，您在加入後一定期間內可以申請退出，未使用的產品也可以依規定辦理退貨退款。我們不會強迫任何人留下，也沒有綁約的問題。不過在決定退出之前，建議您可以先跟上線或公司反映遇到的困難，也許我們能幫您找到解決方法。,medium,制度;退出;保障
34,招募話術,線上邀約,怎麼用社群媒體做邀約？,社群邀約的重點是「先建立價值，再發出邀請」。建議您平時就在社群分享健康知識、生活態度、使用心得等有價值的內容，當朋友對您分享的內容感興趣時，私訊詢問就變得很自然。避免在動態上直接貼產品廣告或價格，那樣反而會讓人反感。記得，社群經營是長期的，不要急於求成。,medium,招募;社群;線上經營
35,招募話術,處理拒絕,被拒絕了怎麼辦？要怎麼調適心態？,被拒絕是正常的，即使是頂尖的銷售人員也會經常被拒絕。重要的是不要把拒絕當成對「自己」的否定，對方拒絕的是「這個時機點」，不是拒絕您這個人。建議您做到三點：第一，感謝對方的時間；第二，保持友好關係，不要因此疏遠；第三，記錄下來，過一段時間再自然地關心對方。很多成功案例都是在第三次、第四次接觸後才成交的。,hard,招募;拒絕;心態
36,招募話術,邀約開場,要怎麼開口邀請朋友來了解？,自然的開場最重要。您可以從對方的需求切入，例如：「最近我在用一款保健品，效果還不錯，想到你之前提過睡眠品質不好，要不要了解看看？」或者「我最近開始了一個副業，時間彈性、收入也不錯，你有沒有興趣聽我分享一下？」關鍵是真誠，不要背話術，用自己的話說就好。,medium,招募;邀約;開場白
37,客戶服務,售後問題,產品用了之後皮膚過敏怎麼辦？,首先請您立即停止使用該產品，如果症狀嚴重請盡速就醫。過敏可能是因為個人膚質對某些成分敏感，並不一定是產品品質問題。請您將過敏狀況拍照記錄，我會協助您向公司反映並安排退換貨事宜。同時，如果您仍有需求，我可以推薦我們適合敏感膚質的其他產品給您參考。,hard,客服;過敏;售後;退換貨
38,客戶服務,處理客訴,客戶收到產品發現有瑕疵。,非常抱歉造成您的困擾！請您先幫我拍照記錄瑕疵的部分，我會立即向公司反映並為您安排換貨。在等待新品期間，如果不影響使用安全的話，您可以繼續使用目前的產品。公司對品質有嚴格要求，這類狀況我們一定會負責到底。請問方便給我您的訂單編號嗎？我馬上為您處理。,easy,客服;客訴;瑕疵;換貨
39,客戶服務,追蹤回訪,客戶買了之後要怎麼做後續追蹤？,建議您建立一個客戶追蹤的節奏：購買後第三天關心是否收到商品及使用方式；第七天詢問初步使用感受；第三十天了解整體效果並提供回購建議。除了產品追蹤，平時也可以分享相關的健康資訊或生活小知識，讓客戶感受到您的關心不只是為了銷售。好的售後服務是回購和轉介紹的關鍵。,medium,客服;追蹤;回訪;關係維護
40,客戶服務,退換貨,產品可以退換嗎？流程是什麼？,可以的。依據消費者保護法，您在收到商品後七天內享有無條件退換貨的權利。退換貨流程如下：請先與我聯繫，我會協助您填寫退換貨申請表，確認產品狀態後寄回公司，公司會在收到產品後的工作天內完成退款或換貨。請保留完整包裝和購買證明，這樣流程會更順暢。,easy,客服;退換貨;流程
41,法規合規,個人資料保護,經營直銷需要注意哪些個資保護事項？,個資保護非常重要。您需要注意：第一，收集客戶資料要告知用途並取得同意；第二，客戶的聯絡方式和購買記錄要妥善保管，不能隨意分享給第三人；第三，在社群分享客戶見證時，一定要事先取得當事人書面同意；第四，使用客戶管理工具時要注意資料安全性。違反個資法可能面臨罰款，也會損害您的信譽。,hard,合規;個資;法規;隱私
42,法規合規,多層次傳銷法規,直銷跟老鼠會有什麼不同？,合法的直銷（多層次傳銷）與非法的老鼠會有本質的區別。直銷公司有實際的產品或服務、收入主要來自產品銷售、加入不需要繳交高額費用、可以自由退出並退貨退款。而老鼠會沒有實質產品、收入主要來自拉人頭、需要繳交高額入會費、且無法退出退款。我們公司是合法登記的直銷事業，在公平交易委員會都有備案。,hard,合規;法規;直銷;老鼠會
43,法規合規,廣告規範,在社群上推廣產品有什麼不能說的？,依據相關法規，保健食品不能宣稱療效，例如不能說「治療」「治癒」「預防疾病」等醫療用語。也不能使用誇大不實的見證或保證效果的說法。建議用語可以是「調整體質」「營養補充」「維持健康」等合規的表述。另外，分享個人體驗時要加註「個人感受，效果因人而異」的提醒。,hard,合規;廣告;法規;社群
44,法規合規,收入宣稱,可以跟別人說做直銷月入十萬嗎？,不建議這樣做。公平交易委員會規定，不得以誇大或不實的收入案例來招募新人。如果要分享收入成果，必須同時揭露這並非普遍的收入水準，且收入取決於個人努力與市場狀況。建議您分享的是「努力的過程和方法」，而不是單純秀收入數字，這樣更有說服力也更合規。,hard,合規;收入;招募;法規
45,團隊經營,培訓新人,新人加入後要怎麼帶他起步？,新人前三個月是最關鍵的。建議的培訓流程是：第一週，帶他認識產品，自己先使用體驗；第二到三週，教他基本的分享話術，陪他做前三場分享；第一個月內，協助他完成首次成交，建立信心。同時每週安排一次線上學習和一次團隊聚會。最重要的是讓新人感到「不孤單」，有問題隨時都有人可以問。,hard,團隊;培訓;新人;起步
46,團隊經營,帶領下線,下線都不積極怎麼辦？,團隊管理需要耐心和策略。首先，了解每位夥伴的動機和目標，不是每個人都追求全職經營。建議您做三件事：第一，以身作則，讓團隊看到您的行動力；第二，定期一對一溝通，了解他們的困難並提供具體協助；第三，建立小型的學習社群，營造正向互助的氛圍。記住，您的角色是教練和支持者，而不是主管。,hard,團隊;領導;下線;管理
47,團隊經營,激勵團隊,怎麼激勵團隊的士氣？,團隊激勵不只是喊口號，而是要創造實際的成就感。建議做法：設立每週或每月的小型競賽（如邀約王、分享王）、公開表揚有進步的夥伴（不只是業績最高的）、組織團隊共學活動、分享成功案例讓大家看到可能性。最重要的是一對一的關心，了解每位夥伴的近況和需要，讓他們感到被重視和支持。,hard,團隊;激勵;管理;士氣
48,團隊經營,線上經營,疫情後怎麼用線上方式經營團隊？,線上經營是現在的趨勢。建議您善用以下工具：LINE 群組做日常溝通和分享；Zoom 或 Google Meet 做線上說明會和培訓；Instagram 和 Facebook 做品牌形象經營；LINE 官方帳號做客戶管理和自動化訊息。每週可以辦一次線上讀書會或產品分享會，保持團隊的連結和學習動力。線上經營的好處是打破地域限制，讓您的市場不受地理範圍侷限。,medium,團隊;線上;工具;數位經營
49,數位行銷,個人品牌,怎麼在社群上建立個人品牌？,建立個人品牌的三個要素是：定位、內容、一致性。首先確定您想被認識的形象，例如「健康生活顧問」。然後圍繞這個定位產出內容，建議比例是 70% 生活與價值分享、20% 專業知識、10% 產品推薦。保持固定的發文頻率，每週至少 3 到 5 篇。最重要的是真實，讓人看到真實的您，而不是一個完美的銷售機器。,medium,行銷;品牌;社群;經營
50,數位行銷,內容創作,不知道要在社群上發什麼內容怎麼辦？,內容靈感其實就在日常生活中。以下是幾個方向：早晨的健康儀式分享、產品使用前後的對比體驗、健康知識小百科、客戶見證（經同意後分享）、團隊活動花絮、您的學習筆記與心得、節日或時事結合產品的貼文。建議您建立一個「內容日曆」，每週預先規劃好主題，就不會臨時不知道發什麼。,medium,行銷;內容;社群;創作
51,數位行銷,直播銷售,要怎麼做直播分享產品？,直播前準備三件事：產品和道具準備齊全、列出要談的重點、確認網路和燈光。直播中的節奏建議：前 5 分鐘打招呼暖場、中間以故事和體驗方式介紹 2 到 3 款產品、穿插回答觀眾提問、最後提供直播限定優惠促進成交。記得保持自然和互動感，不要照稿念。直播結束後，把影片存下來剪輯成短影片，可以持續在社群曝光。,medium,行銷;直播;銷售;技巧
52,數位行銷,線上說明會,怎麼辦一場有效的線上說明會？,一場好的線上說明會控制在 45 到 60 分鐘。流程建議：前 5 分鐘暖場和自我介紹、10 分鐘分享個人故事和為什麼選擇這個事業、15 分鐘產品介紹（搭配圖片和數據）、10 分鐘制度簡介（著重收入潛力）、5 分鐘客戶或夥伴見證、最後 5 到 10 分鐘 Q&A。記得提前測試設備，準備精美的簡報，並在會後立即跟進每位參加者。,hard,行銷;說明會;線上;流程
53,情境應對,客戶比價,客戶說網路上有更便宜的類似產品。,感謝您做了功課來比較！確實市面上有很多類似的產品，價格差異也很大。不過我想提醒您注意幾個比較重點：有效成分的含量和純度、原料來源和製程認證、以及售後服務。便宜的產品可能在這些方面有所不同。另外，我們提供的是完整的健康諮詢服務，這是網路購買所沒有的附加價值。您方便的話，我可以幫您做一份詳細的比較表。,medium,情境;比價;競品;價值
54,情境應對,家人反對,家人不支持我做直銷怎麼辦？,家人的擔心通常來自對直銷的不了解或過去的負面印象。建議您先不要急著說服他們，而是用行動證明：按時完成本業工作、維持正常生活作息、展示實際收入成果。同時，邀請家人參加公司的開放活動或線上說明會，讓他們了解這是一個正規的事業。給家人時間，當他們看到您的改變和成長，態度通常會慢慢轉變。,hard,情境;家人;反對;支持
55,情境應對,朋友覺得被利用,朋友說覺得我接近他只是為了賣東西。,這種反應代表您的朋友很重視你們的友誼，這是好事。建議您直接跟朋友坦誠溝通：「我很抱歉讓你有這種感覺，你對我來說比任何生意都重要。」然後在接下來的互動中，回歸到純粹的友誼，不要提到產品或事業。等關係修復後，如果未來朋友主動詢問，那時再分享也不遲。記住，人脈是最珍貴的資產，不要為了短期業績犧牲長期關係。,hard,情境;友誼;關係;信任
56,情境應對,產品斷貨,客戶想買的產品目前缺貨怎麼辦？,感謝您的耐心！這款產品目前因為太受歡迎暫時缺貨，預計在一到兩週內會補貨到位。我已經幫您登記預購了，一到貨馬上通知您。在等待期間，如果您有類似的需求，我可以推薦我們另一款功能相近的產品讓您先使用。有任何問題隨時告訴我，我會持續幫您追蹤到貨進度。,easy,情境;缺貨;應對;客服
57,情境應對,聚會場合,參加朋友聚會時怎麼自然地提到自己在做直銷？,最自然的方式是當有人問起您的近況或工作時，輕鬆地分享：「最近除了本業之外，我也開始了一個跟健康相關的副業，還蠻有趣的。」然後停下來，看對方是否有興趣追問。如果對方有興趣，再簡單說明；如果沒有，就自然轉換話題。千萬不要在聚會上展開完整的產品介紹，那會讓氣氛變得尷尬。聚會的目的是經營關係，不是銷售。,medium,情境;社交;聚會;分享
58,情境應對,遇到同業,客戶說他已經在用其他直銷品牌的產品了。,太好了，這表示您已經有使用保健品或護膚品的習慣，很注重自己的健康和保養。我不會要求您馬上換品牌，但我很好奇您目前的使用體驗如何？有沒有哪些方面覺得還可以更好的？也許我們的某些產品可以做為您現有方案的補充，而不是取代。重點是找到最適合您的組合，而不是比較品牌的好壞。,medium,情境;同業;競品;應對
59,心態建設,定義成功,做直銷的成功到底是什麼樣子？,成功的定義因人而異，在直銷中也是如此。有人追求的是財務自由、有人想要時間自由、有人是為了自我成長、也有人純粹喜歡幫助他人找到適合的產品。建議您先想清楚自己要的是什麼，然後圍繞這個目標去努力。不需要跟別人的定義比較。最重要的是，在經營的過程中，您是否變成了一個更好的自己？如果是，那就是一種成功。,medium,心態;成功;定義;價值觀
60,心態建設,跟成功者學習,看到別人做得很好會感到焦慮和自卑。,這種感覺很正常。但記住，每個成功者都有自己的起步階段，他們走過的路也許比您想像中更艱辛。建議您把比較的對象換成「昨天的自己」，只要今天比昨天進步一點就好。同時，主動向做得好的夥伴請教，把他們的成功故事當作學習案例而不是比較標準。在這個事業裡，別人的成功不會減少您的機會，反而是您最好的學習教材。,medium,心態;比較;焦慮;成長
61,心態建設,面對低潮,做了好幾個月都沒什麼成績，想放棄了。,低潮期每個人都會遇到，這不代表您不適合這個事業。建議您做三件事：第一，回顧初心，想想當初為什麼開始；第二，檢視方法，也許不是不夠努力，而是方法需要調整，可以請上線或績優夥伴給您建議；第三，設定短期小目標，例如這週邀約 3 個人，用小勝利累積信心。最重要的是不要孤軍奮戰，多參加團隊活動，從夥伴身上獲得能量和支持。,hard,心態;低潮;放棄;堅持
62,自我成長,克服恐懼,我很害怕被拒絕，不敢開口分享怎麼辦？,害怕被拒絕是人之常情，幾乎所有人一開始都會有這個恐懼。建議您先從最親近、最支持您的朋友開始練習，降低心理門檻。另外，把焦點從「銷售」轉移到「分享好東西」，當您真心相信產品的價值，分享就會變得自然。您也可以先用文字分享（社群貼文、私訊），等建立信心後再嘗試面對面溝通。記住，每一次的練習都會讓您更進步。,medium,成長;恐懼;心態;突破
